CustomerID,Age,Annual Income,Spending Score,Cluster
1,19,15000,39,2
2,21,35000,81,2
3,20,86000,6,2
4,23,59000,77,2
5,31,38000,40,2
6,22,58000,76,2
7,35,31000,6,2
8,23,84000,94,2
9,64,97000,3,0
10,30,98000,72,2
11,67,7000,14,2
12,35,93000,99,1
13,58,80000,15,2
14,24,91000,77,2
15,37,19000,13,2
16,22,51000,79,2
17,35,29000,35,2
18,20,89000,66,2
19,52,20000,29,2
20,35,62000,98,2
21,35,96000,35,2
22,25,4000,73,2
23,46,42000,5,2
24,31,71000,73,2
25,54,67000,14,2
26,29,52000,82,2
27,45,68000,32,2
28,35,78000,61,2
29,40,18000,31,2
30,23,20000,87,2
31,60,39000,4,2
32,21,34000,73,2
33,53,59000,4,2
34,18,62000,92,2
35,49,91000,14,2
36,21,95000,81,1
37,42,14000,17,2
38,30,62000,73,2
39,36,9000,26,2
40,20,69000,75,2
41,65,25000,35,2
42,24,85000,92,2
43,48,22000,36,2
44,31,33000,61,2
45,49,72000,28,2
46,24,3000,65,2
47,50,52000,55,2
48,27,71000,47,2
49,29,78000,42,2
50,31,25000,42,2
51,49,88000,52,2
52,33,97000,60,2
53,31,74000,54,2
54,59,68000,60,2
55,50,18000,45,2
56,47,95000,41,2
57,51,71000,50,2
58,69,8000,46,2
59,27,57000,51,2
60,53,89000,46,2
61,70,84000,56,0
62,19,50000,55,2
63,67,50000,52,2
64,54,48000,59,2
65,63,63000,51,2
66,18,9000,59,2
67,43,3000,50,2
68,68,82000,48,0
69,19,81000,59,2
70,32,97000,47,2
71,70,91000,55,0
72,47,9000,42,2
73,60,44000,49,2
74,60,10000,56,2
75,59,89000,47,2
76,26,49000,54,2
77,45,67000,53,2
78,40,99000,48,2
79,23,97000,52,2
80,49,98000,42,2
81,57,52000,51,2
82,38,61000,55,2
83,67,120000,41,0
84,46,34000,44,2
85,21,24000,57,2
86,48,31000,46,2
87,55,11000,58,2
88,22,55000,55,2
89,34,76000,60,2
90,50,56000,46,2
91,68,46000,55,2
92,18,36000,41,2
93,48,88000,49,2
94,40,31000,40,2
95,32,24000,42,2
96,24,80000,52,2
97,47,2000,47,2
98,27,67000,50,2
99,48,58000,42,2
100,20,80000,49,2
101,23,65000,41,2
102,49,4000,48,2
103,67,98000,59,0
104,26,52000,55,2
105,49,86000,56,2
106,21,82000,42,2
107,66,43000,50,2
108,54,78000,46,2
109,68,13000,43,2
110,66,13000,48,2
111,65,34000,52,2
112,19,25000,54,2
113,38,71000,42,2
114,19,2000,46,2
115,18,97000,48,2
116,19,51000,50,2
117,63,9000,43,2
118,49,79000,59,2
119,51,84000,43,2
120,50,87000,57,2
121,27,36000,56,2
122,38,50000,40,2
123,40,97000,58,2
124,39,6000,91,2
125,23,12000,29,2
126,31,46000,77,2
127,43,89000,35,2
128,40,4000,95,2
129,59,38000,11,2
130,38,64000,75,2
131,47,66000,9,2
132,39,26000,75,2
133,25,41000,34,2
134,31,45000,71,2
135,20,89000,5,2
136,29,92000,88,2
137,44,76000,7,2
138,32,85000,73,2
139,19,22000,10,2
140,35,15000,72,2
141,57,32000,5,2
142,32,66000,93,2
143,28,62000,40,2
144,32,85000,87,2
145,25,71000,12,2
146,28,26000,97,2
147,48,52000,36,2
148,32,38000,74,2
149,34,51000,22,2
150,34,90000,90,2
151,43,30000,17,2
152,39,41000,88,2
153,44,17000,20,2
154,38,92000,76,2
155,47,80000,16,2
156,27,10000,89,2
157,37,16000,1,2
158,30,87000,78,2
159,34,66000,1,2
160,30,86000,73,2
161,56,9000,35,2
162,29,50000,83,2
163,19,35000,5,2
164,31,58000,93,2
165,50,47000,26,2
166,36,54000,75,2
167,42,79000,20,2
168,33,83000,95,2
169,36,57000,27,2
170,32,0,63,2
171,40,69000,13,2
172,28,4000,75,2
173,36,79000,10,2
174,36,99000,92,1
175,52,20000,13,2
176,30,28000,86,2
177,58,29000,15,2
